doct_Id,dept_Id,FName,LName,Gender,contact_No,surgeon_Type,office_No
-0.8487050843099007,1.4855995975373206,186,131,0,567,15,407
-0.4884384362763102,1.4855995975373206,254,163,1,1415,7,960
1.717040082134452,0.7112352322602223,1,229,1,1431,2,876
0.8371580763601061,-0.6162465367862319,0,122,0,386,15,970
-0.9826503765275176,1.3749761167834496,221,189,1,102,15,344
-0.8972025176990378,1.4855995975373206,159,8,1,357,15,384
1.7031836725946987,0.04749434773699524,0,176,1,383,7,770
0.6454777443935162,-1.279987421309459,2,176,1,728,31,624
-0.09814956757325381,-1.279987421309459,1,229,0,1386,15,554
-0.9641751638078463,1.3749761167834496,163,267,0,266,15,353
-0.7401632095818318,-0.6162465367862319,1,19,1,691,2,724
1.1373802830547648,1.043105674521836,251,229,1,872,23,728
-0.7494008159416674,0.04749434773699524,2,122,1,349,23,707
-0.280592293180008,-0.726870017540103,251,163,1,920,2,1036
0.8348486747701472,1.596223078291192,251,261,0,1105,2,787
-0.16743161527202122,-0.726870017540103,1,229,1,275,15,800
-0.13048118983267862,-1.279987421309459,252,176,0,912,2,657
0.01732051192469185,-1.5012343828172015,2,229,1,348,7,885
-1.1443084878246417,0.7112352322602223,120,122,1,168,15,270
0.7955888477408457,0.9324821937679647,250,261,1,1221,2,427
0.38451536472815906,0.2687413092447376,251,176,1,527,15,782
1.0057443924271068,-1.1693639405555878,251,163,1,123,15,655
-0.18821622958165143,-1.3906109020633302,251,122,1,1467,2,454
0.21131024548124058,0.04749434773699524,254,122,1,871,31,880
0.13048118983267862,-0.9481169790478454,254,229,0,1220,23,1020
1.6315922233059723,-0.2843760945246183,0,229,1,310,31,852
-1.532287954937739,-0.9481169790478454,164,74,0,479,15,90
1.5507631676574103,-0.2843760945246183,252,19,0,1349,9,743
-1.1189050703350936,0.8218587130140935,127,310,1,644,15,282
-1.0680982353559973,1.1537291552757072,39,42,1,36,15,305
1.6939460662348629,-0.9481169790478454,250,19,0,1341,23,916
0.32908972656914515,0.3793647899986088,254,122,1,321,28,864
1.72165888531437,1.3749761167834496,0,163,1,1050,28,498
0.5276982633056118,-0.726870017540103,1,163,1,705,9,1041
-0.49767604263614584,-1.6118578635710725,253,163,0,1029,9,788
0.5785050982847078,-1.1693639405555878,254,176,1,352,7,518
-1.2205187402932858,0.48998827075247997,68,48,1,967,15,236
-1.4699341120088483,-0.5056230560323607,182,176,0,350,15,119
-0.1789786232218158,0.2687413092447376,2,122,1,398,9,789
-0.38451536472815906,-1.1693639405555878,1,122,1,568,7,602
-1.3290606150213546,0.04749434773699524,218,183,0,46,12,185
-0.49536664104618694,1.1537291552757072,254,19,1,569,31,811
0.758638422301503,0.8218587130140935,253,261,0,252,2,725
0.9849597781174766,0.15811782849086642,2,19,0,1368,9,960
0.8233016668203527,-1.6118578635710725,1,176,0,1323,28,831
0.5369358696654474,-0.2843760945246183,251,261,0,1065,15,942
-1.0727170385359153,1.1537291552757072,199,22,1,468,15,303
0.27135468682017233,-0.3949995752784895,252,163,0,178,9,892
-0.867180297029572,1.4855995975373206,135,34,1,229,15,398
1.031147809916655,-1.7224813443249438,1,122,1,112,23,598
